URL,Title,Salary,Contract Type,Job Type,Address
https://www.reed.co.uk/jobs/data-analyst/52077173?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5,Data Analyst,Salary negotiable,Contract,full-time,Ireland
https://www.reed.co.uk/jobs/data-analyst/52177247?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5,Data Analyst,"£35,000 - £42,000 per annum",Permanent,full-time,Nottingham
https://www.reed.co.uk/jobs/data-analyst/52138532?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5,Data Analyst,"£40,000 - £50,000 per annum",Permanent,full-time,Liverpool
https://www.reed.co.uk/jobs/data-governance-analyst/52168319?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D6,Data Governance Analyst,€95 - €110 per hour,Contract,full-time,Netherlands
https://www.reed.co.uk/jobs/risk-data-analyst/52190438?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D6,Risk Data Analyst,Competitive salary,Permanent,full-time,Loughborough
https://www.reed.co.uk/jobs/data-analyst/52008715?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D6,Data Analyst,"£40,000 - £45,000 per annum, OTE, inc benefits, negotiable",Permanent,full-time,Luton
https://www.reed.co.uk/jobs/data-analyst/52077173?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D6,Data Analyst,Salary negotiable,Contract,full-time,Ireland
https://www.reed.co.uk/jobs/data-analyst/52177247?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D6,Data Analyst,"£35,000 - £42,000 per annum",Permanent,full-time,Nottingham
https://www.reed.co.uk/jobs/data-analyst/52200355?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D6,Data analyst,Competitive salary,Permanent,full-time,Leicester
https://www.reed.co.uk/jobs/data-analyst/52017257?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D6,Data Analyst,£300 per day,Contract,full-time,Manchester
https://www.reed.co.uk/jobs/data-analyst/52139364?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D6,Data Analyst,"£24,000 per annum",Permanent,full-time,Prenton
https://www.reed.co.uk/jobs/data-analyst/52056162?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D6,Data Analyst,"£35,000 - £45,000 per annum",Permanent,full-time,London
https://www.reed.co.uk/jobs/data-analyst/51993131?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D6,Data Analyst,"£25,000 - £35,000 per annum",Permanent,full-time,Hessle
https://www.reed.co.uk/jobs/data-analyst/52159596?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D6,Data Analyst,£400 - £450 per day,Contract,full-time,London
https://www.reed.co.uk/jobs/data-analyst/52146674?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D6,Data Analyst,"£30,000 - £32,000 per annum",Permanent,full-time,Derby
https://www.reed.co.uk/jobs/data-analyst/52046166?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D6,Data Analyst,Salary negotiable,Permanent,full-time,Coventry
https://www.reed.co.uk/jobs/data-analyst/52016633?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D6,Data Analyst,"£45,000 - £50,000 per annum",Permanent,full-time,Wolverhampton
https://www.reed.co.uk/jobs/data-analyst/52123528?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D6,Data Analyst,Competitive salary,Permanent,full-time,Milton Keynes
https://www.reed.co.uk/jobs/data-analyst/52082691?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D6,Data Analyst,£450 per day,Contract,full-time,London
https://www.reed.co.uk/jobs/data-analyst/52076617?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D6,Data Analyst,"£35,000 - £40,000 per annum",Permanent,full-time,London
https://www.reed.co.uk/jobs/data-analyst/52076986?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D6,Data Analyst,Salary negotiable,Contract,full-time,Ireland
https://www.reed.co.uk/jobs/data-analyst/52181128?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D6,Data Analyst,"£27,000 - £32,000 per annum",Permanent,full-time,Letchworth Garden City
https://www.reed.co.uk/jobs/data-analyst/52232586?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D6,Data Analyst,"£28,000 - £35,000 per annum",Permanent,full-time,Herefordshire
https://www.reed.co.uk/jobs/data-analyst/52183966?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D6,Data Analyst,£250 - £300 per day,Contract,full-time,Manchester
https://www.reed.co.uk/jobs/data-analyst/51992231?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D6,Data Analyst,"£40,000 - £50,000 per annum",Permanent,full-time,Cirencester
https://www.reed.co.uk/jobs/data-analyst/52028559?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D6,Data Analyst,"£29,000 - £30,000 per annum",Permanent,full-time,Leeds
https://www.reed.co.uk/jobs/data-analyst/52103769?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D6,Data Analyst,£38 - £46 per hour,Permanent,full-time,Rooksley
